station,latitude,longitude,depth
AR7W_01,53.6745,-55.54316667,
AR7W_02,53.79133333,-55.43533333,
AR7W_03,53.98616667,-55.25,
AR7W_04,54.2185,-55.0205,
AR7W_05,54.48833333,-54.754,
AR7W_06,54.757,-54.48533333,
AR7W_7,54.95283333,-54.29033333,
AR7W_07.5,55.0265,-54.21666667,
AR7W_08,55.107,-54.13616667,
AR7W_09,55.25783333,-53.98916667,
AR7W_09.5,55.3385,-53.90783333,
AR7W_10,55.41866667,-53.82266667,
AR7W_10.5,55.50933333,-53.72416667,
AR7W_11,55.607,-53.62566667,
AR7W_11.5,55.7235,-53.50783333,
AR7W_12,55.84016667,-53.38916667,
AR7W_12.5,55.97416667,-53.25333333,
AR7W_13,56.10783333,-53.11666667,
AR7W_13.5,56.32166667,-52.89183333,
AR7W_14,56.53533333,-52.6735,
AR7W_14.5,56.74133333,-52.4545,
AR7W_15,56.954,-52.23533333,
AR7W_15.5,57.16666667,-52.0085,
AR7W_16,57.37266667,-51.78833333,
AR7W_16.5,57.58616667,-51.55933333,
AR7W_17,57.79316667,-51.33733333,
AR7W_17.5,58.00483333,-51.107,
AR7W_18,58.21666667,-50.8765,
AR7W_18.5,58.4235,-50.64316667,
AR7W_19,58.63733333,-50.41666667,
AR7W_19.5,58.85183333,-50.1765,
AR7W_20,59.06666667,-49.95,
AR7W_20.5,59.2575,-49.73166667,
AR7W_21,59.4765,-49.47166667,
AR7W_21.5,59.63166667,-49.30783333,
AR7W_22,59.75,-49.16666667,
AR7W_22.5,59.86666667,-49.0265,
AR7W_23,59.9765,-48.89316667,
AR7W_23.5,60.07416667,-48.78583333,
AR7W_24,60.1715,-48.6715,
AR7W_24.5,60.2265,-48.60483333,
AR7W_25,60.28833333,-48.53833333,
AR7W_25.5,60.32416667,-48.49183333,
AR7W_26,60.36666667,-48.45183333,
AR7W_26.5,60.404,-48.40433333,
AR7W_27,60.44133333,-48.357,
AR7W_27.5,60.504,-48.29033333,
AR7W_28,60.56666667,-48.2235,
AR7W_28.5,60.62,-48.20333333,
